Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.00142619144807144,0.00142619144807235,0.0387209988697239,0,0,0,5.77045683035615,0.0358649623254085,0.00080037945527639,-6.17308285786931E-05,0.0358649623254085,-6.17308285786879E-05,0.0665669780658533,0,0,0,0,0,0,package://robot_arm_urdf/meshes/base_link.STL,0.250980392156863,0.250980392156863,0.250980392156863,1,0,0,0,0,0,0,package://robot_arm_urdf/meshes/base_link.STL,,Part0.1-3,Coordinate System1,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
link_1,0.00235237666695179,-0.0643399194503954,0.164348327047606,0,0,0,2.31561877597464,0.0258417375148999,0.000433797147037483,-0.000325194930426673,0.0111305576351718,0.00973866434150884,0.0190337639670921,0,0,0,0,0,0,package://robot_arm_urdf/meshes/link_1.STL,0.776470588235294,0.756862745098039,0.737254901960784,1,0,0,0,0,0,0,package://robot_arm_urdf/meshes/link_1.STL,,part0.2-2,Coordinate System1,Axis1,joint_1,revolute,0,0,0,0,0,0,base_link,0,0,1,300,3,-3.1415,3.1415,,,,,,,,
link_2,-0.0158074413346747,0.00902186818494333,0.142692299596478,0,0,0,0.995339611371039,0.0185072986156989,-2.69236672235376E-05,-8.14387504774798E-05,0.0181328588672788,-0.000207024018478611,0.00066596546803811,0,0,0,0,0,0,package://robot_arm_urdf/meshes/link_2.STL,0.250980392156863,0.250980392156863,0.250980392156863,1,0,0,0,0,0,0,package://robot_arm_urdf/meshes/link_2.STL,,part0.3-1,Coordinate System2,Axis2,joint_2,revolute,-0.0200000000000009,-0.172892312614965,0.242433518371245,0,0,0,link_1,-1,0,0,200,3,-1.57,1.57,,,,,,,,
link_3,0.0356599701610483,-0.034594707410593,0.0385370324996485,0,0,0,1.29268396629573,0.00665121214812056,8.22754627038918E-05,-0.000123622152375581,0.00176598194498611,0.000290644819641566,0.00626172582845467,0,0,0,0,0,0,package://robot_arm_urdf/meshes/link_3.STL,0.843137254901961,0,0,1,0,0,0,0,0,0,package://robot_arm_urdf/meshes/link_3.STL,,part0.4-5,Coordinate System3,Axis3,joint_3,revolute,-0.00950000000000014,0,0.35,0,0,0,link_2,-1,0,0,200,3,-0.5236,1.0471,,,,,,,,
link_4,1.400514546019E-07,-0.0752354468372655,6.78485117644456E-07,0,0,0,0.629542864470802,0.00198131032254846,1.14439862027045E-08,-1.97420184797469E-08,0.000595932541109469,3.40296078483897E-08,0.00214969159606624,0,0,0,0,0,0,package://robot_arm_urdf/meshes/link_4.STL,0.956862745098039,1,0.874509803921569,1,0,0,0,0,0,0,package://robot_arm_urdf/meshes/link_4.STL,,Part0.5-1,Coordinate System4,Axis4,joint_4,revolute,0.0375,-0.226,0.045,0,0,0,link_3,0,1,0,100,3,-3.1415,3.1415,,,,,,,,
link_5,4.68375338513738E-17,1.11022302462516E-16,-0.0595366097936,0,0,0,0.315890461347659,0.000327918556202627,-2.7970063537737E-20,9.49331402772297E-20,0.000325029795100665,-5.3129884417086E-22,0.000219611762822908,0,0,0,0,0,0,package://robot_arm_urdf/meshes/link_5.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://robot_arm_urdf/meshes/link_5.STL,,part.06-1,Coordinate System5,Axis5,joint_5,revolute,0,-0.136166643344977,0,0,0,0,link_4,-1,0,0,100,3,0,3.1415,,,,,,,,
link_6,8.67361737988404E-18,-1.11022302462516E-16,-0.0163202513928217,0,0,0,0.0763288813393329,3.21775956437031E-05,-1.18886816814994E-21,-8.72605956714819E-21,3.78561343156334E-05,2.17423943998371E-21,3.97566636072768E-05,0,0,0,0,0,0,package://robot_arm_urdf/meshes/link_6.STL,0.568627450980392,0.549019607843137,0.509803921568627,1,0,0,0,0,0,0,package://robot_arm_urdf/meshes/link_6.STL,,part0.7-1,Coordinate System6,Axis6,joint_6,revolute,0,0,-0.0939999999999998,0,0,0,link_5,0,0,-1,100,3,-1.57,1.57,,,,,,,,
pin_R,6.93889390390723E-18,-0.00735686151301151,0,0,0,0,0.000234048652692439,2.03755518280964E-08,3.42316334339684E-24,2.64687025436074E-26,3.0728703142925E-10,2.50873465428739E-25,2.03755518280964E-08,0,0,0,0,0,0,package://robot_arm_urdf/meshes/pin_R.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://robot_arm_urdf/meshes/pin_R.STL,,part0.9-5,Coordinate System7,Axis7,joint_pR,fixed,0.0393920575113502,0.00735686151301129,-0.0343095110959065,0,0,0,link_6,0,0,0,,,,,,,,,,,,
gripper_R,0.0187230080337432,-0.00735686151301151,-0.0506953708845124,0,0,0,0.0401299740384797,3.81716808668171E-05,-2.9779695901681E-21,1.55460909014014E-05,4.79794138126841E-05,7.58084342753845E-21,1.1951719606009E-05,0,0,0,0,0,0,package://robot_arm_urdf/meshes/gripper_R.STL,1,0.96078431372549,0.890196078431372,1,0,0,0,0,0,0,package://robot_arm_urdf/meshes/gripper_R.STL,,part0.8-2,Coordinate System7,Axis7,joint_gR,revolute,0.0393920575113502,0.00735686151301129,-0.0343095110959065,0,0,0,link_6,0,1,0,100,3,0,1.0471,,,,,,,,
pin_L,0,-0.00735686151301163,0,0,0,0,0.000234048652692439,2.03755518280964E-08,7.28832234693833E-25,2.71687903016275E-26,3.07287031429251E-10,2.47485864245774E-25,2.03755518280964E-08,0,0,0,0,0,0,package://robot_arm_urdf/meshes/pin_L.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://robot_arm_urdf/meshes/pin_L.STL,,part0.9-6,Coordinate System8,Axis8,joint_pL,fixed,-0.0393920575113496,0.00735686151301129,-0.0343095110959065,0,0,0,link_6,0,0,0,,,,,,,,,,,,
gripper_L,-0.0187230080337433,-0.00735686151301118,-0.0506953708845123,0,0,0,0.0401299740384796,3.8171680866817E-05,1.89341281686884E-21,-1.55460909014013E-05,4.79794138126839E-05,1.0282706381016E-20,1.19517196060089E-05,0,0,0,0,0,0,package://robot_arm_urdf/meshes/gripper_L.STL,1,0.96078431372549,0.890196078431372,1,0,0,0,0,0,0,package://robot_arm_urdf/meshes/gripper_L.STL,,part0.8-1,Coordinate System8,Axis8,joint_gL,revolute,-0.0393920575113496,0.00735686151301129,-0.0343095110959065,0,0,0,link_6,0,1,0,100,3,-1.0471,0,,,,,,,,
